tconst,titleType,startYear,runtimeMinutes,averageRating,numVotes
tt0006481,movie,1918,75,6,67
tt0006482,movie,1916,75,6.4,105
tt0006489,movie,1916,75,5.5,30
tt0006505,movie,1916,75,7.5,17
tt0006508,movie,1916,75,6.9,49
tt0006509,movie,1916,75,4.7,589
tt0006511,movie,1916,75,6.2,73
tt0006517,movie,1915,75,6,354
tt0006547,movie,1916,75,8.1,85
tt0006557,movie,1916,75,6.5,21
tt0006564,movie,1916,75,5.6,82
tt0006568,movie,1916,74,7.2,58
tt0006570,movie,1916,74,6,19
tt0006588,movie,1916,74,6.2,13
tt0006589,movie,1916,74,6.7,158
tt0006592,movie,1916,74,6,83
tt0006614,movie,1916,74,6.5,216
tt0006617,movie,1916,73,6.2,253
tt0006621,movie,1916,73,5.7,31
tt0006631,movie,1916,73,6.2,20
tt0006679,movie,1916,73,4.9,35
tt0006688,movie,1916,73,6.4,179
tt0006692,movie,1916,73,5.3,34
tt0006706,movie,1916,73,6,20
tt0006713,movie,1916,73,6.1,29
tt0006731,movie,1916,73,5.4,644
tt0006736,movie,1916,73,6.6,220
tt0006745,movie,1916,73,6,514
tt0006753,movie,1916,73,6.7,184
tt0006761,movie,1915,73,5.7,71
tt0006770,movie,1916,73,6.7,19
tt0006773,movie,1916,72,6.2,38
tt0006780,movie,1916,72,6.8,948
tt0006809,movie,1916,72,5.9,159
tt0006819,movie,1916,72,6.3,49
tt0006820,movie,1916,72,6.1,90
tt0006826,movie,1916,72,5.6,890
tt0006846,movie,1916,72,5.7,32
tt0006847,movie,1916,72,6.7,19
tt0006861,movie,1916,72,6.3,55
tt0006864,movie,1916,72,7.7,14980
tt0006865,movie,1916,72,6.6,23
tt0006874,movie,1916,72,7,17
tt0006886,movie,1916,72,7.4,964
tt0006895,movie,1916,72,5.7,85
tt0006914,movie,1916,71,5.7,46
tt0006917,movie,1916,71,4.2,23
tt0006932,movie,1916,71,6.6,49
tt0006942,movie,1916,71,7.8,24
tt0006943,movie,1916,71,5.6,40
tt0006995,movie,1916,71,6.7,33
tt0006997,movie,1916,71,6,100
tt0007031,movie,1916,71,6.4,89
tt0007034,movie,1916,70,7.7,37
tt0007038,movie,1916,70,7.7,24
tt0007047,movie,1916,70,6,618
tt0007070,movie,1916,70,4.8,8
tt0007100,movie,1916,70,7.6,28
tt0007111,movie,1917,70,6.1,20
tt0007116,movie,1916,70,6.1,18
tt0007117,movie,1915,70,5.4,20
tt0007118,movie,1916,70,8.1,40
tt0007142,movie,1916,70,7.2,31
tt0007160,movie,1916,70,7.4,18
tt0007167,movie,1916,70,5.4,26
tt0007183,movie,1916,70,6.9,697
tt0007188,movie,1916,70,6.3,28
tt0007201,movie,1916,70,8,18
tt0007202,movie,1916,70,6,74
tt0007229,movie,1916,70,8.2,19
tt0007240,movie,1917,70,6.4,40
tt0007255,movie,1916,70,4.8,19
tt0007257,movie,1916,70,5,603
tt0007259,movie,1916,70,4.6,8
tt0007260,movie,1916,70,6.4,173
tt0007263,movie,1916,70,5.3,38
tt0007272,movie,1916,70,7.4,26
tt0007278,movie,1915,70,6.3,40
tt0007297,movie,1917,70,6.3,22
tt0007309,movie,1916,70,5.6,225
tt0007326,movie,1916,70,9,16
tt0007338,movie,1916,70,6.3,387
tt0007340,movie,1916,70,6.9,521
tt0007353,movie,1916,70,5.6,24
tt0007361,movie,1916,70,6.3,393
tt0007367,movie,1916,70,5.4,548
tt0007368,movie,1916,70,6.4,106
tt0007375,movie,1915,70,2.8,42
tt0007407,movie,1916,70,6.3,14
tt0007410,movie,1916,70,5.5,21
tt0007418,movie,1916,70,5,9
tt0007422,movie,1918,70,5.8,32
tt0007453,movie,1916,70,7.4,38
tt0007454,movie,1916,70,6.2,42
tt0007459,movie,1916,70,6.6,112
tt0007462,movie,1916,70,6.8,24
tt0007473,movie,1916,70,7,30
tt0007498,movie,1916,70,6.4,22
tt0007499,movie,1916,70,3.8,19
tt0007506,movie,1916,69,6.1,17
tt0007516,movie,1916,69,5.5,15
tt0007518,movie,1916,69,5.5,15
tt0007522,movie,1916,69,5.7,131
tt0007539,movie,1916,69,8,25
tt0007558,movie,1916,69,6.3,705
tt0007590,movie,1916,69,6.2,54
tt0007610,movie,1917,69,5.8,314
tt0007614,movie,1917,69,6.7,22
tt0007617,movie,1917,68,5.7,108
tt0007618,movie,1917,68,6.6,18
tt0007620,movie,1917,68,5.3,44
tt0007646,movie,1917,68,7.2,61
tt0007669,movie,1917,68,6.7,26
tt0007678,movie,1917,68,6.7,15
tt0007684,movie,1917,68,6.6,17
tt0007698,movie,1917,68,5,67
tt0007699,movie,1917,68,5.4,55
tt0007702,movie,1917,68,7.2,32
tt0007755,movie,1917,68,6,552
tt0007778,movie,1917,68,7.2,28
tt0007795,movie,1917,68,7.2,76
tt0007801,movie,1917,68,6.5,349
tt0007811,movie,1917,67,6.7,21
tt0007834,movie,1917,67,7.2,18
tt0007857,movie,1917,67,7.4,19
tt0007867,movie,1917,67,7.2,53
tt0007873,movie,1917,67,6.3,66
tt0007903,movie,1917,67,6.7,21
tt0007927,movie,1917,67,7.5,27
tt0007931,movie,1917,67,6.8,47
tt0007942,movie,1917,67,5,46
tt0007952,movie,1917,67,7,15
tt0007983,movie,1917,66,6.2,162
tt0007986,movie,1917,66,4.6,22
tt0007992,movie,1917,66,6.6,49
tt0007998,movie,1917,66,7.1,27
tt0008004,movie,1917,66,7.3,18
tt0008011,movie,1917,66,6.1,159
tt0008022,movie,1917,66,4.6,22
tt0008029,movie,1917,66,6.6,37
tt0008036,movie,1917,66,6.9,23
tt0008041,movie,1917,66,7.3,30
tt0008051,movie,1917,66,5.8,12
tt0008060,movie,1917,65,5.3,97
tt0008091,movie,1917,65,6.6,18
tt0008099,movie,1917,65,5.9,120
tt0008100,movie,1918,65,6.5,682
tt0008122,movie,1916,65,6.7,44
tt0008134,movie,1917,65,7,22
tt0008144,movie,1917,65,5.3,30
tt0008150,movie,1916,65,6.5,574
tt0008151,movie,1917,65,4.2,14
tt0008161,movie,1917,65,6.1,64
tt0008188,movie,1917,65,6.1,675
tt0008195,movie,1917,65,4,16
tt0008196,movie,1917,65,5.9,685
tt0008217,movie,1917,65,7.2,36
tt0008241,movie,1917,65,6.6,20
tt0008252,movie,1917,65,6.3,112
tt0008259,movie,1917,65,6.3,59
tt0008260,movie,1917,65,5,14
tt0008266,movie,1917,65,5.3,22
tt0008271,movie,1917,65,4.4,45
tt0008279,movie,1917,65,6.4,130
tt0008285,movie,1917,64,5.8,12
tt0008305,movie,1917,64,6.5,32
tt0008309,movie,1917,64,6.7,298
tt0008319,movie,1917,64,6.1,95
tt0008329,movie,1917,64,5.9,94
tt0008353,movie,1917,64,6,23
tt0008355,movie,1917,63,6.5,39
tt0008359,movie,1917,63,5.9,38
tt0008361,movie,1917,63,4.8,21
